,name,code,sector,main_product
1368,풍산,103140,1차 비철금속 제조업,
1369,하나금융지주,086790,기타 금융업,기타 금융
1370,하이골드12호,172580,운송장비 임대업,
1371,하이골드8호,159650,운송장비 임대업,선박펀드
1372,한국가스공사,036460,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발"
1373,한국전력공사,015760,전기업,"전력자원개발,발전,송전,전력용기자재확보"
1374,한국항공우주,047810,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품"
1375,한성기업,003680,수산물 가공 및 저장 처리업,"냉동식품,햄제품 제조,도매,보관/원양어업"
1376,한솔피엔에스,010420,기타 전문 도매업,"정보시스템구축 및 유지보수, 포장재제조 및 가공, 지류가공 및 판매"
1377,한일홀딩스,003300,"시멘트, 석회, 플라스터 및 그 제품 제조업",지주사업
1378,한창,005110,기계장비 및 관련 물품 도매업,"소화기, 통신장비 유통"
1379,현대로템,064350,철도장비 제조업,"철도차량, 특수중기, 산업기계"
1380,현대미포조선,010620,선박 및 보트 건조업,"선박수리,선박개조,선박신조"
1381,현대백화점,069960,종합 소매업,백화점
1382,현대비앤지스틸,004560,1차 철강 제조업,"스텐레스냉연강판,특수강 제조"
1383,현대약품,004310,의약품 제조업,"타코실, 마이녹실, 테놀민, 미에로화이바 등"
1384,화성산업,002460,건물 건설업,아파트 건설
1385,화신,010690,자동차 신품 부품 제조업,"자동차엔진부품(ARM류,C/MBR류),자동차부품 제조"
1386,휴켐스,069260,기타 화학제품 제조업,"화합물,화학제품 제조"
1387,흥국화재,000540,보험업,손해보험
