,날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
223,2019.10.29,2092.69,0.91,-0.04%,357662,4067889
224,2019.10.28,2093.6,5.71,0.27%,269233,3853804
229,2019.10.25,2087.89,2.23,0.11%,348686,4429328
230,2019.10.24,2085.66,5.04,0.24%,367717,5208814
231,2019.10.23,2080.62,8.24,-0.39%,429453,5110883
235,2019.10.22,2088.86,24.02,1.16%,504063,4811062
236,2019.10.21,2064.84,4.15,0.20%,606108,3598365
237,2019.10.18,2060.69,17.25,-0.83%,516687,5429306
242,2019.10.17,2077.94,4.89,-0.23%,314177,3484053
243,2019.10.16,2082.83,14.66,0.71%,524545,4463659
244,2019.10.15,2068.17,0.77,0.04%,464533,4138985
248,2019.10.14,2067.4,22.79,1.11%,511215,4579415
249,2019.10.11,2044.61,16.46,0.81%,381147,3790613
250,2019.10.10,2028.15,18.1,-0.88%,445846,5612446
255,2019.10.08,2046.25,24.52,1.21%,437517,4256283
256,2019.10.07,2021.73,1.04,0.05%,322184,3412076
257,2019.10.04,2020.69,11.22,-0.55%,402940,3963264
261,2019.10.02,2031.91,40.51,-1.95%,414460,3933921
262,2019.10.01,2072.42,9.37,0.45%,389336,3869998
263,2019.09.30,2063.05,13.12,0.64%,327625,3709169
268,2019.09.27,2049.93,24.59,-1.19%,285943,3489260
269,2019.09.26,2074.52,1.13,0.05%,430577,4656831
270,2019.09.25,2073.39,27.65,-1.32%,651551,5181991
