,name,code,sector,main_product
90,퓨쳐인포넷,058690,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템(중형컴퓨터기기의 판매), 전자도서관 구축"
91,플래닛82,057330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","Adaptor, Powertrans, Encoder, Reactor, S.M.P.S"
92,플래티넘성2-MF,044740,,유가증권등의 매매등을 통한 자산의 투자·운용업무
93,하림홀딩스,024660,기타 금융업,비금융지주회사
94,한국4호스팩,240540,금융 지원 서비스업,기업인수합병
95,한국제5호스팩,271740,금융 지원 서비스업,기업인수합병
96,한국종합철관,014340,,피복강관
97,한국체인,012350,,체인
98,한국화이바,007850,,
99,한림창투,021060,신탁업 및 집합투자업,창업자에 대한 투자 및 융자
100,한아시스템,036020,,라우터 외 (네트워크사업)
101,한일제관,026950,,CAN
102,한컴지엠디,077280,소프트웨어 개발 및 공급업,TFT-LCD용 ASIC
103,한통엠닷컴,030700,,"무선전신전화업,음성데이타부가서비스제공"
104,희훈디앤지,019640,실내건축 및 건축마무리 공사업,의장공사
105,CJ프레시웨이,051500,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
106,CSA 코스믹,083660,플라스틱제품 제조업,"물탱크,상하수도용도류벽,축산탱크"
107,DMS,068790,특수 목적용 기계 제조업,LCD 제조장비
108,EDGC,245620,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스
109,GH신소재,130500,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼"
110,GST,083450,특수 목적용 기계 제조업,"GasScrubber,Chiller"
111,GS홈쇼핑,028150,텔레비전 방송업,CATV홈쇼핑
112,JW신약,067290,의약품 제조업,"매니큐어세트, 손톱깎이"
113,KB오토시스,024120,자동차 신품 부품 제조업,브레이크패드
114,KG모빌리언스,046440,소프트웨어 개발 및 공급업,유무선전화결제서비스
115,KPX생명과학,114450,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등
116,SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업,전자결제대행 및 핀테크 비스
117,SK5호스팩,337450,금융 지원 서비스업,기업인수합병
118,SK6호스팩,340350,금융 지원 서비스업,
119,THE E&M,089230,기타 정보 서비스업,인터넷 개인방송 플랫폼
120,TJ미디어,032540,영상 및 음향기기 제조업,영상음향반주기
121,YW,051390,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
122,갤럭시아컴즈,094480,소프트웨어 개발 및 공급업,전자결제
123,경창산업,024910,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
124,고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘"
125,골드퍼시픽,038530,생활용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등"
126,골프존,215000,소프트웨어 개발 및 공급업,골프시뮬레이터
127,교보8호스팩,307280,금융 지원 서비스업,기업인수합병
128,그리티,204020,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)"
129,나노브릭,286750,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)"
130,나무기술,242040,소프트웨어 개발 및 공급업,응용소프트웨어 개발 및 공급업
131,나스미디어,089600,광고업,광고매체 판매
132,네오티스,085910,자동차 신품 부품 제조업,"마이크로비트,샤프트"
133,네이처셀,007390,기초 의약물질 및 생물학적 제제 제조업,닥터쥬크르
134,녹십자셀,031390,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제
135,뉴인텍,012340,전자부품 제조업,콘덴서
136,다산네트웍스,039560,통신 및 방송 장비 제조업,네트워크 통신장비
137,대봉엘에스,078140,의약품 제조업,"원료의약품,화장품원료"
138,대유에이피,290120,자동차 신품 부품 제조업,자동차 스티어링휠
139,데이타솔루션,263800,기계장비 및 관련 물품 도매업,"EMC스토리지, SPSS, SI"
140,동구바이오제약,006620,의약품 제조업,"피부, 비뇨기과 완제의약품"
141,동방선기,099410,선박 및 보트 건조업,선박용 배관 등
142,디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판)
143,디엔에프,092070,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
144,디오,039840,의료용 기기 제조업,자동포장기계
145,디지틀조선,033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스
146,디케이앤디,263020,플라스틱제품 제조업,합성피혁 및 부직포
147,디케이티,290550,전자부품 제조업,스마트폰용 FPCA
148,딜리,131180,컴퓨터 및 주변장치 제조업,디지털 UV 프린터
149,라이브플렉스,050120,생활용품 도매업,"텐트, 원 ·부자재"
150,레고켐바이오,141080,자연과학 및 공학 연구개발업,신약후보물질 발굴을 통한 License-Out
151,레드캡투어,038390,여행사 및 기타 여행보조 서비스업,"여행알선, 렌터카"
152,루멘스,038060,반도체 제조업,LED개발 및 제조
153,루미마이크로,082800,반도체 제조업,백색발광다이오드(LED)
154,매일홀딩스,005990,낙농제품 및 식용빙과류 제조업,유제품
155,메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발"
156,메탈라이프,327260,전자부품 제조업,"광통신, RF통신용 패키지"
157,모비스,250060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업인수합병
158,모트렉스,118990,자동차 신품 부품 제조업,차량용 인포테인먼트
159,미래생명자원,218150,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업
160,바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,기업인수합병
161,바이넥스,053030,의약품 제조업,"정장제, 소화제"
162,브이티지엠피,018290,컴퓨터 및 주변장치 제조업,라미네이팅필름
163,비에이치아이,083650,일반 목적용 기계 제조업,"보일러,열교환기등"
164,삼지전자,037460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업"
165,삼현철강,017480,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외"
166,상상인인더스트리,101000,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대"
167,상지카일룸,042940,건물 건설업,"건설업, 고급빌라 건축 및 일반 건축, 주택공급 등"
168,서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반, 전력기기, 전기공사"
169,선익시스템,171090,특수 목적용 기계 제조업,OLED 증착장비
170,성우하이텍,015750,자동차 신품 부품 제조업,자동차범퍼
171,세보엠이씨,011560,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 ."
172,세코닉스,053450,사진장비 및 광학기기 제조업,"CCD렌즈, 광PICK-UP렌즈"
173,셀루메드,049180,기초 의약물질 및 생물학적 제제 제조업,"의료기기, 바이오시밀러 및 헬스케어사업"
174,셀리드,299660,자연과학 및 공학 연구개발업,항암면역치료백신
175,셀바스헬스케어,208370,의료용 기기 제조업,"체성분측정기, 혈압계, 점자정보단말기"
176,스페코,013810,특수 목적용 기계 제조업,아스팔트믹싱플랜트
177,승일,049830,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브"
178,신테카바이오,226330,소프트웨어 개발 및 공급업,유전체 빅데이터 기반의 AI신약개발 및 정밀의료서비스
179,심텍,222800,전자부품 제조업,반도체용 인쇄회로기판
180,싸이토젠,217330,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
181,썸에이지,208640,소프트웨어 개발 및 공급업,기업인수합병
182,씨케이에이치,900120,기타 금융업,건강보조식품
183,아나패스,123860,반도체 제조업,Timing Controller(TCON)
184,아바텍,149950,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터"
185,아이디스,143160,통신 및 방송 장비 제조업,"영상보안장치(DVR,NVR,IP-Camera 등)"
186,아이씨디,040910,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입"
187,아이크래프트,052460,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인터넷핵심망(CCR,MCR,NAS등)"
188,알리코제약,260660,의료용품 및 기타 의약 관련제품 제조업,완제 의약품
189,알에프텍,061040,통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리"
190,알티캐스트,085810,소프트웨어 개발 및 공급업,"디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)"
191,액션스퀘어,205500,소프트웨어 개발 및 공급업,모바일게임
192,에너토크,019990,일반 목적용 기계 제조업,전동액츄에이터
193,에스아이리소스,065420,석탄 광업,자카드직물
194,에스에프씨,112240,플라스틱제품 제조업,"태양광 모듈용 백시트, 라미네이팅 필름"
195,에스코넥,096630,통신 및 방송 장비 제조업,WaferProber
196,에스피시스템스,317830,특수 목적용 기계 제조업,산업용 갠트리 로봇
197,에쎈테크,043340,일반 목적용 기계 제조업,LPG밸브
198,에이티넘인베스트,021080,신탁업 및 집합투자업,벤처캐피탈
199,에코프로비엠,247540,일차전지 및 축전지 제조업,양극활물질
200,엑세스바이오,950130,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)"
201,엔터메이트,206400,소프트웨어 개발 및 공급업,"웹게임, 모바일게임"
202,엘아이에스,138690,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C"
203,엘앤케이바이오,156100,의료용 기기 제조업,척추 임플란트
204,엘티씨,170920,기초 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액
205,엠씨넥스,097520,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈
206,오공,045060,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제"
207,오로라,039830,전문디자인업,"캐릭터디자인,캐릭터완구 등"
208,와이솔,122990,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer"
209,와이오엠,066430,기타 전문 도매업,"VCI,LDPE필름 외"
210,와이지-원,019210,기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴"
211,우리바이오,082850,전구 및 조명장치 제조업,"LCD광원부품(CCFL,EEFL)"
212,원익QnC,074600,유리 및 유리제품 제조업,석영유리가공제품
213,원풍물산,008290,봉제의복 제조업,남성용신사복
214,웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",이동통신중계기용전력증폭기
215,웰크론,065950,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복"
216,유니온커뮤니티,203450,통신 및 방송 장비 제조업,지문인식출입통제기
217,유니테크노,241690,자동차 신품 부품 제조업,자동차 엔진파워트레인/모터 부품 제조 및 조립
218,유신,054930,"건축기술, 엔지니어링 및 관련 기술 서비스업",토목설계 및 감리
219,유안타제5호스팩,336060,금융 지원 서비스업,금융 지원 서비스
220,유진스팩5호,331380,금융 지원 서비스업,합병
221,유진테크,084370,특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD
222,이라이콤,041520,상품 중개업,TFT-LCD용 Back Light Unit
223,이베스트투자증권,078020,금융 지원 서비스업,유가증권위탁매매
224,이스트소프트,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W"
225,이엠코리아,095190,특수 목적용 기계 제조업,CNC공작기계등
226,이퓨쳐,134060,"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재)
227,정상제이엘에스,040420,일반 교습 학원,어학교육업
228,제너셈,217190,특수 목적용 기계 제조업,반도체 후공정 장비
229,제우스,079370,특수 목적용 기계 제조업,LCD제조용장비
230,제이엘케이인스펙션,322510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템"
231,제일제강,023440,1차 철강 제조업,"연강선재, 경강선재, CHQ외"
232,젬백스,082270,특수 목적용 기계 제조업,"ChemicalAirFilter,GasScrubber"
233,젬백스지오,041590,건물설비 설치 공사업,"실내건축, 에너지저장시스템"
234,조아제약,034940,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매"
235,지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비"
236,지엔코,065060,봉제의복 제조업,"캐쥬얼의류(SPORT-REPLAY, Thursday Island)"
